ch_01a	ch_02a	ch_03a	ch_04a	ch_05a	ch_06a	ch_07a	ch_08a	ch_09a	ch_10a	ch_11a	ch_12a	ch_13a	ch_14a	ch_15a	ch_16a	ch_17a	ch_18a	ch_19a	ch_20a	ch_21a	ch_22a	ch_23a	ch_24a	ch_25a	ch_26a	ch_27a	ch_28a	ch_29a	ch_30a	AllFile_start	AllFile_end
382.700840	113.138160	71.834720	40.093400	65.908040	8.309640	180.434640	71.979640	14.842880	179.517680	126.412960	299.408960	58.033760	63.103440	63.103440	374.601320	464.363560	134.562680	74.298920	627.266760	341.696560	321.333240	91.951400	55.729040	95.503520	644.787720	666.244640	29.739760	36.067280	710.540440	0.000000	1783.237920
434.887640	293.511920	418.608680	73.443240	395.124160	314.998560	408.219080	434.887600	387.367400	280.445400	131.581560	796.160280	138.758840	167.128000	179.517680	495.359240	715.971280	197.458320	102.933640	891.016880	1169.431160	445.166760	129.709680	267.130000	190.272400	1201.501840	 	226.561880	167.128000	733.409200	 	 
1076.336320	482.806920	778.439320	150.988360	505.865480	330.498920	497.249480	795.866080	582.554160	383.305520	914.256080	1021.213640	147.002480	232.958440	506.010040	707.253800	743.010400	207.434480	149.239080	916.476160	1441.178520	542.512280	236.811080	380.698200	236.811120	1285.693640	 	519.481240	304.556200	1025.038040	 	 
1529.444720	603.627760	934.701960	434.887600	529.146360	854.997040	666.244640	835.700800	1123.554160	452.338280	1103.572080	1106.601400	167.128000	493.106720	931.243440	793.412480	890.829120	239.378840	628.777960	1367.594560	1615.383280	550.454920	270.731440	1478.886200	321.333240	1367.594560	 	552.726480	1106.601360	1103.572080	 	 
 	765.959920	1295.426880	539.708560	597.292400	954.076120	1231.966560	1024.154080	1727.591760	1454.048240	1619.193720	1110.631600	240.140520	638.898200	933.387680	895.568720	903.553760	483.657400	1025.038080	 	1654.634240	563.437960	490.834240	 	443.827240	1614.528040	 	669.407000	1374.816480	1299.976720	 	 
 	1367.594560	1607.867520	593.234200	622.061080	1734.648080	1373.710640	1039.803600	 	 	 	1157.190200	1024.083400	1076.336320	1001.730000	923.768960	1002.710800	702.625640	1721.525800	 	1717.978560	781.923360	823.341960	 	674.058200	1783.237920	 	686.824240	1529.444720	1464.211640	 	 
 	1438.505720	1770.794680	895.499400	644.787720	 	1388.709120	1551.596040	 	 	 	1190.192280	1350.011000	1333.840560	1054.491600	1493.973280	1231.966560	830.883480	 	 	 	958.243920	1394.100560	 	785.068040	 	 	735.217200	1653.348000	1599.588120	 	 
 	1721.525800	 	934.701960	997.823400	 	 	 	 	 	 	1280.895560	1396.525560	 	1085.057080	1581.422920	 	1137.122040	 	 	 	1057.847280	 	 	1015.741320	 	 	864.524480	1685.814680	 	 	 
 	 	 	1112.386440	1071.714600	 	 	 	 	 	 	1460.228640	1679.354360	 	1152.745040	1652.570880	 	1335.243680	 	 	 	 	 	 	1025.292040	 	 	934.701960	 	 	 	 
 	 	 	1454.048240	1299.772600	 	 	 	 	 	 	 	1695.722280	 	1410.475560	1669.494800	 	 	 	 	 	 	 	 	1089.282200	 	 	1501.924920	 	 	 	 
 	 	 	 	1501.924960	 	 	 	 	 	 	 	 	 	1438.505720	 	 	 	 	 	 	 	 	 	1156.869160	 	 	1773.400520	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	1770.798880	 	 	 	 	 	 	 	 	 	1717.184560	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1717.811480	 	 	 	 	 	 	 
